"_col0","title","type","address","city","state","postalcode","country","region","latitude","longitude","isopening","rundate"
"dc41075","The Devon Hotel","destination charger","390 Devon Street East New Plymouth 4312","New Plymouth","","4312","New Zealand","asia_pacific","-39.053422","174.088886","false","2022-09-05 12:05:22 PDT"
"dc41072","MPG 121 Reade Street","destination charger","121 Reade St New York, New York 10013","New York","New York","10013","United States","north_america","40.716268","-74.009491","false","2022-09-05 12:05:22 PDT"
"dc28097","Hotel The Originals Rennes Sud La Chaussairie","destination charger","30 Avenue de la Chaussarie, Chartres de Bretagne, 35131 France","Chartres de Bretagne","","35131","France","europe","48.034577","-1.712359","false","2022-09-05 12:05:22 PDT"
"dc28093","日月潭‧原森林民宿","standard charger","555 南投縣魚池鄉中明村文化巷39號","魚池鄉","","","Taiwan","asia_pacific","23.883701","120.919525","false","2022-09-05 12:05:22 PDT"
"dc80660","The Cove Kettering","destination charger","3 Oxleys Road Kettering TAS 7155","Kettering","","TAS 7155","Australia","asia_pacific","-43.12919715","147.2466391","false","2022-09-05 12:05:22 PDT"
"dc28082","Wingate by Wyndham North Little Rock","destination charger","4801 W Commercial Dr North Little Rock, Arkansas 72116","North Little Rock","Arkansas","72116","United States","north_america","34.7981864","-92.2204068","false","2022-09-05 12:05:22 PDT"
"dc28079","Candlewood Suites Conway","destination charger","2360  Sanders Rd Conway, Arkansas 72032","Conway","Arkansas","72032","United States","north_america","35.1095405","-92.434177","false","2022-09-05 12:05:22 PDT"
"dc28076","Comfort Suites Conway","destination charger","705  Museum Rd Conway, Arkansas 72032","Conway","Arkansas","72032","United States","north_america","35.0897479","-92.419566","false","2022-09-05 12:05:22 PDT"
"dc28069","Thomas George Estates","destination charger","8075 Westside Rd Healdsburg, California 95448","Healdsburg","California","95448","United States","north_america","38.522965","-122.879001","false","2022-09-05 12:05:22 PDT"
"dc79655","Thon Hotel Surnadal","destination charger","Svartvassvegen 1, 6650 Surnadal, Norway","Surnadal","","6650","Norway","europe","62.97294","8.725223","false","2022-09-05 12:05:22 PDT"
"dc41030","Hotel Catalonia Diagonal Centro","destination charger","Carrer de Balmes, 142-146, 08008 Barcelona, Spain","Barcelona","","8008","Spain","europe","41.393861","2.156727","false","2022-09-05 12:05:22 PDT"
"dc53012","Kimpton Rowan Palm Springs Hotel","destination charger","100 W Tahquitz Canyon Wy Palm Springs, California 92262","Palm Springs","California","92262","United States","north_america","33.823254","-116.5478","false","2022-09-05 12:05:22 PDT"
"dc54375","Quinta das Soizas","destination charger","Rua Moinho das Soizas, 2460-115 Alfeizerao, Portugal","Alfeizerao","","2460-115","Portugal","europe","39.503587","-9.104798","false","2022-09-05 12:05:22 PDT"
"dc41052","Chukchansi Crossing Fuel Station","destination charger","711 Lucky Ln Coarsegold, California 93614","Coarsegold","California","93614","United States","north_america","37.214164","-119.708038","false","2022-09-05 12:05:22 PDT"
"dc1800","Best Western Garden Court Inn","destination charger","Fremont, CA 94538","Fremont","CA","94538","United States","north_america","37.532181","-122.000213","false","2022-09-05 12:05:22 PDT"
"mehlvillemosupercharger","Mehlville, MO Supercharger","supercharger","18 South County Center Way Saint Louis County, Missouri United States 63129","Saint Louis County","MO","63129","United States","north_america","38.507459","-90.329069","false","2022-09-05 12:05:22 PDT"
"dc31662","Four Seasons Vail","destination charger","1 Vail Rd Vail, Colorado 81657","Vail","Colorado","81657","United States","north_america","39.642952","-106.379133","false","2022-09-05 12:05:22 PDT"
"dc30331","Oakridge Resort","destination charger","20 Studholme Rd Wanaka 9381","Wanaka","","9381","New Zealand","asia_pacific","-44.715077","169.13508","false","2022-09-05 12:05:22 PDT"
"dc28031","현대 호텔 울산","destination charger","울산광역시 동구 방어진순환도로 875","울산광역시","","","South Korea","asia_pacific","35.519702","129.430355","false","2022-09-05 12:05:22 PDT"
"portlandmacadamavenue","Portland-S Macadam Avenue","store","4330 S Macadam Ave Portland, OR 97239","Portland","OR","97239","United States","north_america","45.491794","-122.671415","false","2022-09-05 12:05:22 PDT"
"dc56946","Gun Lake Casino","destination charger","1123 129th St Ave Wayland, Michigan 49348","Wayland","Michigan","49348","United States","north_america","42.631113","-85.656383","false","2022-09-05 12:05:22 PDT"
"dc54365","Nusfjord Rorbuer","destination charger","Nusfjordveien 110 , 8380 Nusfjord, Norway","Nusfjord","","8380","Norway","europe","68.035771","13.346557","false","2022-09-05 12:05:22 PDT"
"dc17385","Art's Tavern Annex","destination charger","6475 Western Ave Glen Arbor, Michigan 49636","Glen Arbor","Michigan","49636","United States","north_america","44.897565","-85.988658","false","2022-09-05 12:05:22 PDT"
"walnutcreek","Walnut Creek-Broadway Plaza","store","1246 Broadway Plaza Suite 1094 Walnut Creek, CA 94596","Walnut Creek","CA","94596","United States","north_america","37.896195","-122.058112","false","2022-09-05 12:05:22 PDT"
"dc17381","Lagardère Paris Racing","destination charger","1 Chemin de la Croix Catelan, Paris,  75016 France","Paris","","75016","France","europe","48.865738","2.258439","false","2022-09-05 12:05:22 PDT"
"dc28029","伊勢志摩エバーグレイズ","destination charger","〒517-0213 三重県志摩市磯部町穴川 1365-10","三重県","","","Japan","asia_pacific","34.361586","136.815808","false","2022-09-05 12:05:22 PDT"
"dc30338","Highfield Mews","destination charger","26 Exe St Oamaru 9400","Oamaru","","9400","New Zealand","asia_pacific","-45.091359","170.973725","false","2022-09-05 12:05:22 PDT"
"guardaptsupercharger","Guarda Supercharger","supercharger","Hotel Lusitânia  Lote 34 Urbanização Quinta Das Covas Guarda Aveiro Portugal","Guarda","Aveiro","","Portugal","europe","40.5594249","-7.2329302","false","2022-09-05 12:05:22 PDT"
"dc18731","Hotel Levesque","destination charger","171 rue Fraser Riviere-du-Loup, Quebec G5R 1E2","Riviere-du-Loup","Quebec","G5R 1E2","Canada","north_america","47.828752","-69.553042","false","2022-09-05 12:05:22 PDT"
"dc18737","Banyan Tree Acapulco","destination charger","Boulevard Cabo Marques Lte. 1 Punta Diamante Acapulco, Guerrero 39907","Acapulco","Guerrero","39907","Mexico","north_america","16.794313","-99.856011","false","2022-09-05 12:05:22 PDT"
"dc1731","Summerland Resort Hotel","destination charger","13011 Lakeshore Dr Summerland, BC V0H 1Z1","Summerland","BC","V0H 1Z1","Canada","north_america","49.6011203","-119.6533166","false","2022-09-05 12:05:22 PDT"
"dc18723","Rental Property","destination charger","Available via website Lake Moogerah QLD 4309","Lake Moogerah","","QLD 4309","Australia","asia_pacific","-28.029366","152.552856","false","2022-09-05 12:05:22 PDT"
"dc1736","CityWalk at Universal Orlando Resort","destination charger","6300 Universal Blvd Orlando, FL 32819","Orlando","FL","32819","United States","north_america","28.474705","-81.464334","false","2022-09-05 12:05:22 PDT"
"dc31730","Ballycroft Vineyard and Cellars","destination charger","1 Adelaide Rd Greenock SA 5360","Greenock","","SA 5360","Australia","asia_pacific","-34.464024","138.92099","false","2022-09-05 12:05:22 PDT"
"dc31732","Prime Pet Friendly Tourist Park","destination charger","60 Myer Street Lakes Entrance VIC 3909","Lakes Entrance","","VIC 3909","Australia","asia_pacific","-37.8756","147.9948","false","2022-09-05 12:05:22 PDT"
"annapolismdsupercharger","Annapolis, MD Supercharger","supercharger","1906 Towne Centre Boulevard Annapolis, Maryland United States 21401","Annapolis","MD","21401","United States","north_america","38.980062","-76.540338","false","2022-09-05 12:05:22 PDT"
"dc30408","Best Western O'Hare North/Elk Grove Hotel","destination charger","100 Busse Rd Elk Grove Village, Illinois 60007","Elk Grove Village","Illinois","60007","United States","north_america","42.0248324","-87.9606725","false","2022-09-05 12:05:22 PDT"
"dc30409","Four Points by Sheraton Chicago O'Hare Airport","destination charger","10249 W Irving Park Rd Schiller Park, Illinois 60176","Schiller Park","Illinois","60176","United States","north_america","41.9552467","-87.8826061","false","2022-09-05 12:05:22 PDT"
"dc1718","Pamplemousse Grille","destination charger","Solana Beach, CA 92075","Solana Beach","CA","92075","United States","north_america","32.980407","-117.259812","false","2022-09-05 12:05:22 PDT"
"dc1719","Brookstreet Hotel","destination charger","525 Legget Dr Ottawa, Ontario K2K 2W2","Ottawa","ON","K2K 2W2","Canada","north_america","45.347959","-75.91811","false","2022-09-05 12:05:22 PDT"
"dc30417","Delta Hotels by Marriott Chicago North Shore Suites","destination charger","1400 Milwaukee Ave Glenview, Illinois 60025","Glenview","Illinois","60025","United States","north_america","42.0795693","-87.8654424","false","2022-09-05 12:05:22 PDT"
"dc1784","The Oxford Hotel","destination charger","10 NW Minnesota Ave Bend, OR 97701","Bend","OR","97701","United States","north_america","44.057922","-121.312053","false","2022-09-05 12:05:22 PDT"
"dc18772","Osteria Villa Anna","destination charger","Via Bossoletti, 4, 24060 Gandosso, Italy","Gandosso","","24060","Italy","europe","45.664738","9.893704","false","2022-09-05 12:05:22 PDT"
"dc29425","Raemoir House Hotel","destination charger","Banchory, Banchory, Aberdeenshire AB31 4ED United Kingdom","Banchory","Aberdeenshire","AB31 4ED","United Kingdom","europe","57.08549","-2.505439","false","2022-09-05 12:05:22 PDT"
"dc1774","Best Western Plus Fresno Inn","destination charger","480 E. Shaw Ave Fresno, CA 93710","Fresno","CA","93710","United States","north_america","36.8086559","-119.7810627","false","2022-09-05 12:05:22 PDT"
"dc53095","Hotel ZILLERTALERHOF Mayrhofen","destination charger","Am Marienbrunnen 341, 6290 Mayrhofen, Austria, Mayrhofen 6290 Austria","Mayrhofen","","6290","Austria","europe","47.167683","11.866111","false","2022-09-05 12:05:22 PDT"
"dc510325","Hôtel Restaurant La Roya","standard charger","Route de la Plage, 20217 Saint-Florent, France","Saint-Florent","","20217","France","europe","42.674082","9.295655","false","2022-09-05 12:05:22 PDT"
"hartfordctleibertroadsupercharger","Hartford, CT - Leibert Road Supercharger","supercharger","165 Leibert Road Hartford, Connecticut 06120","Hartford","CT","6120","United States","north_america","41.788303","-72.65546","false","2022-09-05 12:05:22 PDT"
"dc18770","The White Horse","destination charger","Main Road, Brancaster, Norfolk  PE31 8BY United Kingdom","Brancaster","Norfolk","PE31 8BY","United Kingdom","europe","52.966055","0.678897","false","2022-09-05 12:05:22 PDT"
"dc18764","Hampton Inn & Suites DFW Airport South","destination charger","4201 Reggis Ct Fort Worth, Texas 76155","Fort Worth","Texas","76155","United States","north_america","32.824473","-97.059412","false","2022-09-05 12:05:22 PDT"
"dc29419","Comano Cattoni Holiday Hotel","destination charger","Via C. Battisti, 18B, 38077 Comano Terme, Italy","Comano Terme","","38077","Italy","europe","46.038024","10.876331","false","2022-09-05 12:05:22 PDT"
"dc1777","Liquidity Wines","destination charger","4720 Allendale Rd Okanagan Falls, British Columbia V0H 1R2","Okanagan Falls","BC","V0H 1R2","Canada","north_america","49.3247253","-119.5460569","false","2022-09-05 12:05:22 PDT"
"melonparkcasupercharger","Menlo Park, CA Supercharger","supercharger","325 Sharon Park Drive Menlo Park, California United States 94025","Menlo Park","CA","94025","United States","north_america","37.423395","-122.198224","false","2022-09-05 12:05:22 PDT"
"idaholfallssupercharger","Idaho Falls Supercharger","supercharger","940 Pier View Drive  Idaho Falls, Idaho  United States 83402","Idaho Falls","ID","83402","United States","north_america","43.485152","-112.05205","false","2022-09-05 12:05:22 PDT"
"dc29400","AC hotel by Marriott Santa Fe","destination charger","Juan Salvador Agraz 130 Lomas de Santa Fe, Contadero Cuajimalpa, Ciudad de Mexico 05348","Cuajimalpa","Ciudad de Mexico","5348","Mexico","north_america","19.358082","-99.276988","false","2022-09-05 12:05:22 PDT"
"dc30462","Comfort Inn, Jacksonville","destination charger","76043 Sidney Pl Yulee, Florida 32097","Yulee","Florida","32097","United States","north_america","30.6189156","-81.6455032","false","2022-09-05 12:05:22 PDT"
"dc16159","Hotel Almesberger","destination charger","Marktplatz 4, 4160 Aigen im Mühlkreis, Austria","Aigen im Mühlkreis","","4160","Austria","europe","48.646221","13.971745","false","2022-09-05 12:05:22 PDT"
"dc55766","Total - Consulado","destination charger","Av. Rio Consulado 2884 Pensador Mexicano Gustavo A madero, Ciudad de Mexico 15510","Gustavo A madero","Ciudad de Mexico","15510","Mexico","north_america","19.443105","-99.085704","false","2022-09-05 12:05:22 PDT"
"dc16154","Quartier Latin","destination charger","Rue des Brasseurs , 6900 Marche, Belgium","Marche","","6900","Belgium","europe","50.227369","5.346132","false","2022-09-05 12:05:22 PDT"
"dc16162","NIXE Yachthafen Wannsee","destination charger","Koenigstrasse  4b, 14109 Berlin, Germany","Berlin","","14109","Germany","europe","52.421306","13.167635","false","2022-09-05 12:05:22 PDT"
"dc41117","Coast Rosslare Strand","destination charger","Coast Rosslare Strand  Strand Rd. , Whitehouse, Rosslare,  Rosslare Ireland","Whitehouse, Rosslare","","Rosslare","Ireland","europe","52.279376","-6.392995","false","2022-09-05 12:05:22 PDT"
"dc29466","McHugh's Pub and Restaurant","destination charger","Killeencastlegar, Galway,   Ireland","Galway","","","Ireland","europe","53.313477","-8.985946","false","2022-09-05 12:05:22 PDT"
"dc43783","Pytloun Travel Hotel","standard charger","Volgogradska 29/70, 46007 Liberec, Czech Republic","Liberec","","46007","Czech Republic","europe","50.766353","15.058664","false","2022-09-05 12:05:22 PDT"
"dc41125","Le Meridien Al Aqah Beach Resort","destination charger","Dibba Road, Fujairah, 3070 United Arab Emirates","Fujairah","","3070","United Arab Emirates","middle_east","25.507158","56.362748","false","2022-09-05 12:05:22 PDT"
"dc67732","Ski Inn Hotel Pyhätunturi","destination charger","Kultakeronkatu 21 , 98530 Pyhätunturi, Finland","Pyhätunturi","Lappi","98530","Finland","europe","67.021444","27.242337","false","2022-09-05 12:05:22 PDT"
"seabrooksupercharger","Seabrook Supercharger","supercharger","Seabrook Commons 700 Lafayette Road Seabrook, NH 03874","Seabrook","NH","3874","United States","north_america","42.895248","-70.869299","false","2022-09-05 12:05:22 PDT"
"dc28121","Anderson's Conn Valley Vineyards","destination charger","680 Rossi Rd St. Helena, California 94574","St. Helena","California","94574","United States","north_america","38.515494","-122.41096","false","2022-09-05 12:05:22 PDT"
"dc17469","Hotel Hermitage & Spa","destination charger","Via Piolet, 1, 11021 Cervinia, Italy","Cervinia","","11021","Italy","europe","45.931932","7.630386","false","2022-09-05 12:05:22 PDT"
"dc18796","TownePlace Suites by Marriott Joplin","destination charger","4026 S Arizona Ave Joplin, Missouri 64804","Joplin","Missouri","64804","United States","north_america","37.044038","-94.481329","false","2022-09-05 12:05:22 PDT"
